intro,title
"If you asked Richard Thaler in 2010, what he thought would become of the then very new field of behavioral science over the next decade, he would have been wrong, at least for the most part. Could he have predicted the expansion of behavioral economics research? Probably. The Nobel Prize? Maybe. The ",Imagining the Next Decade of Behavioral Science
"As consumers, we are faced with a virtually endless range of “natural” products. We can start our mornings with a piece of toast slathered in ",“Natural Is Better”: How the Appeal To Nature Fallacy Derails Public Health
"Nudging, now more than a decade old as an intervention tool, has become something of a poster child for the behavioral sciences. We know that people don’t always act in their own best interest—sometimes spectacularly so—and nudges have emerged as a noncoercive way to live better in a world shaped by our behavioral foibles.",The Future of Nudging Will Be Personal
"The impact of the coronavirus defies any one narrative. Its
influence becomes exponentially more complex each day as it tests our capacity
to hold multiple truths at once. It is both catastrophic and potentially
regenerative, isolating and uniting. It is a time of sirens, birdsong, and
eerie quiet. ",A Portal and a Trap: The Many Ways Coronavirus Will Impact Women
"Sometimes, big social movements start small. One or two people decide one day to change what they’ve always done. Someone speaks up. Someone refuses to move.",Why Economics Needs More Black Women
"Changing our minds is hard, even in the most favorable conditions. There’s the risk of looking inconsistent or like you lack conviction; if you’re a politician, a flip-flopper. But there’s more to it than that.",“Your Ideas Are Not Your Identity”: Adam Grant on How to Get Better at Changing Your Mind
The Psych Report,The Edge of Belief: Maria Konnikova on the Art of the Con
The Psych Report,"Teens, False Confessions, and Perceptions of the Police"
The Psych Report,Psychology’s Largest Replication Effort Reveals Low Rates of Reproducibility
"January 28, 2017. Across the United
States, thousands were crowding major international airports. Heavily bundled
and scarved protestors shuffled through arrival terminals in Chicago;
demonstraters prayed in the baggage claim area at Dallas Fort Worth
International Airport. They were responding to the closure of national borders for
the next three months to individuals from seven predominantly Muslim countries.",How Immigrants Drive Entrepreneurship and Innovation
"Voters
generally, and prosperous voters in particular, suffer from what I call the mother of all cognitive illusions: they believe that having to
pay higher taxes would make it more difficult to buy what they want. Like
many illusory beliefs, this one may seem self-evident. And yet, as I will
explain, it is completely baseless.",The Mother of All Cognitive Illusions
The Psych Report,How Trust Leads to Truth: A Q&A on the U.S. Government’s Search for an Evidence-Based Interrogation Strategy
"Robert Frank used to believe that any individual action a person takes to reduce their carbon footprint—eating less meat, driving a hybrid car, walking instead of driving to work—would have a tiny, negligible impact on the planet. As an economist, that was the prevailing wisdom. Not anymore. In his newest book, ",Putting Peer Pressure to Work: A Q&A with Robert Frank
The Psych Report,New Report Links Psychologists and Medical Professionals to Detainee Abuse
 ,Why Governor Nixon has to remove prosecutor from Michael Brown Case
The Psych Report,Coerced to Confess: The Psychology of False Confessions
The Psych Report,"Senate Report Calls CIA Tactics Inhumane and Ineffective, Details Unethical Application of Psychology"
The Psych Report,Rethinking Consciousness: A Q&A with Michael Graziano
The Psych Report,Replicating the Replicators: Is Psychology in Crisis or Not?
The Psych Report,The “Moist” Conundrum
