author,date,finalSummary,miniSummary,title
MIT News Office,4-Jun-21,"•    I see what you accomplished in the time before we knew the word “Covid” and through the long, difficult “improbable” year since then.And I see, and feel, your hopes and your uncertainty about the future.So it’s now time for me to deliver my “charge” to you.I have always believed that, as members of the great global family of MIT, we must do everything in our power to help make a better world.But I also know that our graduates will know what I mean.As you begin your next chapter, I want to ask you to hack the world – until you make the world a little more like MIT: More daring and more passionate.","“Through immense effort, self-discipline, creativity and compassion, you found a way to rise to the demands of this historic challenge… together,” Reif told graduates.",President L. Rafael Reif’s charge to the Class of 2021
MIT News Office,4-Jun-21,"And I knew I had fallen in love ... with the liver — an underappreciated organ with gorgeous microarchitecture that busily performs many functions essential for life while it sits quietly tucked up under our rib cage.While I did graduate to plan, in the next five years, many things would happen that I could never have planned.So if you don’t know anything else, now you know you can solve unsolved problems again and again and again.As you go off into the world, I would like to leave you with the words of one of my favorite artists, Lin Manuel Miranda who says “Cheers.","“It’s OK not to know,” Bhatia told graduates. “Just keep going. Trust yourself to figure it out and don’t let the uncertainty weigh you down.”",Professor Sangeeta Bhatia’s salute from the faculty
Melanie Miller Kaufman,3-Jun-21,"This storm may have been an omen … By some miracle, I passed all of my first term courses.” He went on to earn his undergraduate (1958), MS (1960), and ScD (1965) in chemical engineering.Upon graduation, he was a postdoc at Imperial College London for a year, and then returned to Cambridge, Massachusetts, to become an assistant professor of chemical engineering at MIT.And energy because that was simply his way, whether it was in research or teaching or tending his enormous garden or playing with his grandchildren.","Known for his quick wit, the MIT alumnus spent his career fostering hands-on learning for generations of chemical engineering students.","William Dalzell, influential lecturer in chemical engineering at MIT, dies at 84"
David Orenstein,3-Jun-21,"A powerful series of speakers at the Picower Institute for Learning and Memory’s biennial Spring Symposium, Early Life Stress and Mental Health, blended personal stories and rigorous research to demonstrate that while remedying the lifelong toxic stress and disadvantage many people incur during childhood can be difficult, it is by no means intractable.Picower Institute Director  opened the symposium, co-produced with the  led by Barbara Picower, with the observation that while problems such as poverty, racism, injustice, and child abuse have been around for a long time, finding and implementing ways to fight the health problems that can result has become increasingly urgent.“This feels especially so right now, as we grapple with a time in which many of us have seen young people endure historic stresses,” she said.That and other opportunities inspired him to co-found the , which helps high school students all over Puerto Rico to gain more exposure to science and knowledge about science careers.","At Picower Institute symposium, speakers describe harms of early exposure to trauma, racism, as well as the restorative power of understanding, nurturing, and extending opportunity.","On systemic sources of early life stress, and empathetic responses"
MIT Sloan Executive Education,7-Jun-21,"Now, thanks to a pair of MIT Sloan Executive Education alumni, the the firm has applied data-driven developments and AI augmentation to its operations, helping it solve a considerable production bottleneck that unleashed hidden capacity in the form of millions of cases of beer at its plant in México.Federico Crespo, CEO of fast-growing industrial tech company Valiot.io, and Miguel Aguilera, supply chain digital transformation and innovation manager at Heineken México, first met at the MIT Sloan Executive Education program .As a result, BBT and filtration time were reduced in each cycle.",How a pair of MIT Sloan Executive Education alumni translated teachings from an MIT course to operations improvements at Mexico’s largest brewery.,Unleashing capacity at Heineken México with systems thinking from MIT
Anna Babbi Klein,3-Jun-21,"By the end of the summer, they had determined the market was oversaturated, and Finear realized that “the world just does not want another food delivery service.”But this was not the end of Finear’s entrepreneurial journey at MIT.Finear recalls, “I reached out to every community I could possibly think of that would let me borrow a new outfit — I sent an email to my sorority, a Slack message to my business club, and a group chat to my best friends.” She ultimately found a suit and decided there should be a better way to quickly connect to all her networks when she needed an urgent favor.To determine if a gig-economy market existed on campuses, Team Boon interviewed over 5,000 students and started Instagram accounts on campuses up and down the East Coast.","For Gabrielle Finear, a senior studying computer science, working on two startup ideas in MIT Sandbox provided hands-on learning to complement her coursework.",Experiential learning through entrepreneurship
Zach Winn,20-May-21,"Netra can quickly analyze videos and organize the content based on what’s going on in different clips, including scenes where people are doing similar things, expressing similar emotions, using similar products, and more.So, we’ll train a model that detects all the home runs, but underneath the cover there’s a neural network, and it’s creating an embedding of that video, and that differentiates the scene in other ways from an out or a walk.”By defining the relationships between different clips, Netra’s system allows customers to organize and search their content in new ways.","Netra, co-founded by Shashi Kant SM ’06, uses artificial intelligence to help companies sort and manage video content.",Improving the way videos are organized
Rachel Gordon,5-May-21,"For example, for curlier hair, the pain cost would dominate, so shorter brush lengths were optimal.The team wants to eventually perform more realistic experiments on humans, to better understand the performance of the robot with respect to their experience of pain — a metric that is obviously highly subjective, as one person’s “two” could be another’s “eight.”“To allow robots to extend their task-solving abilities to more complex tasks such as hair brushing, we need not only novel safe hardware, but also an understanding of the complex behavior of the soft hair and tangled fibers,” says Hughes.",Robotic arm equipped with a hairbrush helps with brushing tasks and could be an asset in assistive-care settings. ,A robot that can help you untangle your hair
David Orenstein,26-May-21,"In a new study, a research team based at MIT and Massachusetts General Hospital shows that a straightforward artificial intelligence approach, attuned to the kind of anesthetic being used, can yield algorithms that assess unconsciousness in patients based on brain activity with high accuracy and reliability.“One of the things that is foremost in the minds of anesthesiologists is ‘Do I have somebody who is lying in front of me who may be conscious and I don’t realize it?’ Being able to reliably maintain unconsciousness in a patient during surgery is fundamental to what we do,” says senior author Emery N. Brown, the Edward Hood Taplin Professor in The Picower Institute for Learning and Memory and the Institute for Medical Engineering and Science at MIT, and an anesthesiologist at MGH.All the while, neural rhythms reflecting their brain activity were recorded with electroencephalogram (EEG) electrodes, providing a direct, real-time link between measured brain activity and exhibited unconsciousness.In the new work, Abel, Badgeley, and the team trained versions of their AI algorithms, based on different underlying statistical methods, on more than 33,000 2-second-long snippets of EEG recordings from seven of the volunteers.",Machine learning software advances could help anesthesiologists optimize drug dose.,"New algorithms show accuracy, reliability in gauging unconsciousness under general anesthesia"
Anne McGovern,27-May-21,"What is new, however, is the use of the internet and social media to spread these campaigns.""As part of Kao’s PhD work in the laboratory’s Lincoln Scholars program, a tuition fellowship program, he developed a statistical approach — now used in RIO — to help determine not only whether a social media account is spreading disinformation but also how much the account causes the network as a whole to change and amplify the message.Erika Mackin, another research team member, also applied a new machine learning approach that helps RIO to classify these accounts by looking into data related to behaviors such as whether the account interacts with foreign media and what languages it uses.","Built at MIT Lincoln Laboratory, the RIO program automatically detects and analyzes social media accounts that spread disinformation across a network.",Artificial intelligence system could help counter the spread of disinformation
