author,date,finalSummary,miniSummary,title,topics
Raluca Budiu,2020-02-02,"However, the difference between light mode and dark mode in the visual-acuity task was smaller for older adults than for younger adults — meaning that, When researchers looked at fatigue metrics, they concluded that there was no significant difference of contrast polarity on any of them (meaning that it wasn’t the case that dark mode made people more tired, or vice versa).Another study, published in the journal by the same research group, looked at how text size interacts with contrast polarity in a proofreading task.The thinning was more pronounced in participants who already had myopia.This result seems to suggest that, even though performance in light mode may be better in the short term, there may be a long-term cost associated with it.The literature on users with impaired vision, is paradoxically, less rich than the one on people with normal vision, although there is an implicit consensus that dark mode is better at least for some people with visual impairments."," In people with normal vision (or corrected-to-normal vision), visual performance tends to be better with light mode, whereas some people with cataract and related disorders may perform better with dark mode. On the flip side, long-term reading in light mode may be associated with myopia.",Dark Mode vs. Light Mode: Which Is Better?,"Accessibility, Web Usability, Visual Design, Human Computer Interaction, "
Jakob Nielsen,2020-11-15,"Interfaces that promote recognition reduce the amount of cognitive effort required from users.Flexible processes can be carried out in different ways, so that people can pick whichever method works for them.This heuristic doesn't mean you have to use a  — it's about making sure you're keeping the content and visual design focused on the essentials.Four years later, I refined the heuristics based on a factor analysis of 249 usability problems [Nielsen 1994a] to derive a set of heuristics with maximum explanatory power, resulting in this revised set of heuristics [Nielsen 1994b].In 2020, we updated this article, adding more explanation, examples, and related links."," Jakob Nielsen's 10 general principles for interaction design. They are called ""heuristics"" because they are broad rules of thumb and not specific usability guidelines.",10 Usability Heuristics for User Interface Design,"Heuristic Evaluation, Human Computer Interaction, Web Usability, "
Jakob Nielsen,2008-08-07,"Don's insight was that the usability field was expanding beyond the technology industry and thus opening up the niche we were to fill.As Don was mulling over the idea of launching this elite company, he read an  saying that I'd left Sun Microsystems to focus on writing a .Now, I would accept a call from Don Norman anytime, but if he hadn't lived five minutes from my house, I doubt that we would have been able to get together enough to found a start-up.Despite all the Internet technology advances, sharing dinners at good restaurants and coffee at each other's houses remains the best way to build a personal connection.The day we started the company, ' technology columnist, Dan Gillmor, called Don for a quote on a story."," Started in 1998, the company is now 10 years old and has a long list of accomplishments.",Nielsen Norman Group: The First Decade,"Web Usability, "
Jakob Nielsen,2000-03-18,"The best results come from testing no more than 5 users and running as many small tests as you can afford.In earlier research, Tom Landauer and I showed that the number of usability problems found in a usability test with  users is: (1-(1-  )  )where  is the total number of usability problems in the design and  is the proportion of usability problems discovered while testing a single user.The same would be true for a system aimed at connecting purchasing agents with sales staff.Even when the groups of users are very different, there will still be great similarities between the observations from the two groups.", Elaborate usability tests are a waste of resources. The best results come from testing no more than 5 users and running as many small tests as you can afford.,Why You Only Need to Test with 5 Users,"User Testing, "
Sarah Gibbons,2018-12-09,"In a user story map, these features are written on sticky notes, then arranged based on the product release that each functionality will be added to.While, at a glance, a user story map may look like a journey map, journey maps are meant for discovery and understanding (think big picture), while user story maps are for planning and implementation (think little picture).Although a journey map and user story map may contain some of the same pieces, they are used at different points of the process.This shared vision is a critical goal of journey mapping, because, without it, agreement on how to improve customer experience would never take place.Second, the shared artifact resulting from the mapping can be used to communicate an understanding of your user or service to all involved.", A journey map is a visualization of the process that a person goes through in order to accomplish a goal.,Journey Mapping 101,"Customer Journeys, Design Process, "
Susan Farrell,2017-02-12,"The end of one cycle is the beginning of the next.The important thing is not to execute a giant list of activities in rigid order, but to start somewhere and learn more and more as you go along.When deciding where to start or what to focus on first, use some of these top UX methods.Ideally this research should be done before effort is wasted on building the wrong things or on building things for the wrong people, but it can also be used to get back on track when you’re working with an existing product or service.Good things to do during discovery:Exploration methods are for understanding the problem space and design scope and addressing user needs appropriately.Testing and validation methods are for checking designs during development and beyond, to make sure systems work well for the people who use them.Listen throughout the research and design cycle to help understand existing problems and to look for new issues.", User research can be done at any point in the design cycle. This list of methods and activities can help you decide which to use when.,UX Research Cheat Sheet,"Research Methods, Design Process, "
Sarah Gibbons,2017-11-05,"A  is a visualization of the process that a person goes through in order to accomplish a goal tied to a specific business or product.Blueprinting is an ideal approach to experiences that are omnichannel, involve multiple touchpoints, or require a crossfunctional effort (that is, coordination of multiple departments).Before beginning any mapping effort (regardless of the type), 3 decisions must be made:This decision involves the actions and states depicted in the visualization: do they reflect the current state of the world or a desired state of the world?This decision depends on the type of input that you will use to build your mapping."," Empathy maps, customer journey maps, experience maps, and service blueprints depict different processes and have different goals, yet they all build common ground within an organization.",UX Mapping Methods Compared: A Cheat Sheet,"Design Process, Customer Journeys, "
Jakob Nielsen,2012-01-03,"A key one is , which refers to the design's functionality: Does it do what users need?Usability and utility are equally important and together determine whether something is useful: It matters little that something is easy if it's not what you want.Many of these problems are likely to be structural, and fixing them would require major rearchitecting.The only way to a high-quality user experience is to start user testing early in the design process and to keep testing every step of the way.If you run at least , it's worth building a dedicated usability laboratory."," How to define usability? How, when, and where to improve it? Why should you care? Overview defines key usability concepts and answers basic questions. ",Usability 101: Introduction to Usability,"Human Computer Interaction, User Testing, Web Usability, "
Don Norman,,, We asked Don what he feels about the way people are using terms like “UX” and “user experience” these days.,"Don Norman on the term ""UX""",
Kara Pernice,2018-10-07,"The user does not have to really like you, think you’re funny, or want to invite you out for a cup of coffee in order to trust you enough to be interviewed.While you will likely think of questions while sitting with the user, do bring to the interview a list of questions you aim to have answered.Some of these differences are summarized in the table below.Before you do a user interview, consider what it is that you want to learn, then choose your research method."," User interviews have become a popular technique for getting user feedback, mainly because they are fast and easy. Use them to learn about users’ perceptions of your design, not about its usability.","User Interviews: How, When, and Why to Conduct Them","Research Methods, "
